0, CONV2d, 0, 1, 64, 55, 55, 3, 11, 11, 4, 4, 1, 1
1, CONV2d, 1, 1, 192, 27, 27, 64, 5, 5, 1, 1, 1, 1
2, CONV2d, 2, 1, 384, 13, 13, 192, 3, 3, 1, 1, 1, 1
3, CONV2d, 3, 1, 256, 13, 13, 384, 3, 3, 1, 1, 1, 1
4, CONV2d, 4, 1, 256, 13, 13, 256, 3, 3, 1, 1, 1, 1
5, FC, 0, 1, 1, 1, 9216, -1, 4096, -1, -1, -1, -1, -1
6, FC, 1, 1, 1, 1, 4096, -1, 4096, -1, -1, -1, -1, -1
7, FC, 2, 1, 1, 1, 4096, -1, 1000, -1, -1, -1, -1, -1
