Label,FinalPerformance
resnet50/NBP/layer_29_type_0/Traces/trace_34,2412846.545454546
resnet50/NBP/layer_29_type_0/Traces/trace_10,592816.0
resnet50/NBP/layer_29_type_0/Traces/trace_15,655648.0
resnet50/NBP/layer_29_type_0/Traces/trace_14,310060.0
resnet50/NBP/layer_29_type_0/Traces/trace_24,1426880.0
resnet50/NBP/layer_29_type_0/Traces/trace_5,2395328.0
resnet50/NBP/layer_29_type_0/Traces/trace_0,614944.0
resnet50/NBP/layer_29_type_0/Traces/trace_39,374464.0
resnet50/NBP/layer_29_type_0/Traces/trace_21,2083760.0
resnet50/NBP/layer_29_type_0/Traces/trace_16,324016.0
resnet50/NBP/layer_29_type_0/Traces/trace_32,879865.0
resnet50/NBP/layer_29_type_0/Traces/trace_8,352326.4
resnet50/NBP/layer_29_type_0/Traces/trace_27,2852192.0
resnet50/NBP/layer_29_type_0/Traces/trace_37,328912.0
resnet50/NBP/layer_29_type_0/Traces/trace_19,1208200.0
resnet50/NBP/layer_29_type_0/Traces/trace_30,539252.0
resnet50/NBP/layer_29_type_0/Traces/trace_26,6007008.0
resnet50/NBP/layer_29_type_0/Traces/trace_7,419590.0
resnet50/NBP/layer_29_type_0/Traces/trace_3,831040.0
resnet50/NBP/layer_29_type_0/Traces/trace_1,1256528.0
resnet50/NBP/layer_29_type_0/Traces/trace_12,660016.0
resnet50/NBP/layer_29_type_0/Traces/trace_25,601160.0
resnet50/NBP/layer_29_type_0/Traces/trace_6,1713848.0
resnet50/NBP/layer_29_type_0/Traces/trace_36,372508.0
resnet50/NBP/layer_29_type_0/Traces/trace_29,1098384.0
resnet50/NBP/layer_29_type_0/Traces/trace_17,4732056.0
resnet50/NBP/layer_29_type_0/Traces/trace_18,558748.0
resnet50/NBP/layer_29_type_0/Traces/trace_9,1346016.0
resnet50/NBP/layer_29_type_0/Traces/trace_11,2980768.0
resnet50/NBP/layer_29_type_0/Traces/trace_31,4856768.0
resnet50/NBP/layer_29_type_0/Traces/trace_33,2793392.0
resnet50/NBP/layer_29_type_0/Traces/trace_28,4123784.0
resnet50/NBP/layer_29_type_0/Traces/trace_22,479488.0
resnet50/NBP/layer_29_type_0/Traces/trace_2,604688.0
resnet50/NBP/layer_29_type_0/Traces/trace_13,1267112.0
resnet50/NBP/layer_29_type_0/Traces/trace_23,4216128.0
resnet50/NBP/layer_29_type_0/Traces/trace_38,604688.0
resnet50/NBP/layer_29_type_0/Traces/trace_4,621104.0
resnet50/NBP/layer_29_type_0/Traces/trace_20,281764.0
resnet50/NBP/layer_29_type_0/Traces/trace_35,5558560.0
resnet50/NBP/layer_37_type_0/Traces/trace_34,186102.0
resnet50/NBP/layer_37_type_0/Traces/trace_10,191051.0
resnet50/NBP/layer_37_type_0/Traces/trace_15,145936.0
resnet50/NBP/layer_37_type_0/Traces/trace_14,156856.0
resnet50/NBP/layer_37_type_0/Traces/trace_24,119648.0
resnet50/NBP/layer_37_type_0/Traces/trace_5,519736.0
resnet50/NBP/layer_37_type_0/Traces/trace_0,425712.0
resnet50/NBP/layer_37_type_0/Traces/trace_39,600348.0
resnet50/NBP/layer_37_type_0/Traces/trace_21,429856.0
resnet50/NBP/layer_37_type_0/Traces/trace_16,234752.0
resnet50/NBP/layer_37_type_0/Traces/trace_32,174088.0
resnet50/NBP/layer_37_type_0/Traces/trace_8,564676.0
resnet50/NBP/layer_37_type_0/Traces/trace_27,106568.0
resnet50/NBP/layer_37_type_0/Traces/trace_37,453793.28
resnet50/NBP/layer_37_type_0/Traces/trace_19,627228.0
resnet50/NBP/layer_37_type_0/Traces/trace_30,814240.0
resnet50/NBP/layer_37_type_0/Traces/trace_26,183848.0
resnet50/NBP/layer_37_type_0/Traces/trace_7,1097796.0
resnet50/NBP/layer_37_type_0/Traces/trace_3,519736.0
resnet50/NBP/layer_37_type_0/Traces/trace_1,115640.0
resnet50/NBP/layer_37_type_0/Traces/trace_12,796096.0
resnet50/NBP/layer_37_type_0/Traces/trace_25,510944.0
resnet50/NBP/layer_37_type_0/Traces/trace_6,468832.0
resnet50/NBP/layer_37_type_0/Traces/trace_36,185612.0
resnet50/NBP/layer_37_type_0/Traces/trace_29,1591296.0
resnet50/NBP/layer_37_type_0/Traces/trace_17,233856.0
resnet50/NBP/layer_37_type_0/Traces/trace_18,212688.0
resnet50/NBP/layer_37_type_0/Traces/trace_9,419356.0
resnet50/NBP/layer_37_type_0/Traces/trace_11,5580512.0
resnet50/NBP/layer_37_type_0/Traces/trace_31,806456.0
resnet50/NBP/layer_37_type_0/Traces/trace_33,1028657.0
resnet50/NBP/layer_37_type_0/Traces/trace_28,420112.0
resnet50/NBP/layer_37_type_0/Traces/trace_22,209720.0
resnet50/NBP/layer_37_type_0/Traces/trace_2,316792.48000000004
resnet50/NBP/layer_37_type_0/Traces/trace_13,104076.0
resnet50/NBP/layer_37_type_0/Traces/trace_23,1702848.0
resnet50/NBP/layer_37_type_0/Traces/trace_38,213136.0
resnet50/NBP/layer_37_type_0/Traces/trace_4,421120.0
resnet50/NBP/layer_37_type_0/Traces/trace_20,1600144.0
resnet50/NBP/layer_37_type_0/Traces/trace_35,5767104.0
resnet50/NBP/layer_13_type_0/Traces/trace_34,2817696.0
resnet50/NBP/layer_13_type_0/Traces/trace_10,405664.0
resnet50/NBP/layer_13_type_0/Traces/trace_15,1463728.0
resnet50/NBP/layer_13_type_0/Traces/trace_14,11166512.0
resnet50/NBP/layer_13_type_0/Traces/trace_24,408016.0
resnet50/NBP/layer_13_type_0/Traces/trace_5,443072.0
resnet50/NBP/layer_13_type_0/Traces/trace_0,311248.0
resnet50/NBP/layer_13_type_0/Traces/trace_39,364364.0
resnet50/NBP/layer_13_type_0/Traces/trace_21,2907072.0
resnet50/NBP/layer_13_type_0/Traces/trace_16,110768.0
resnet50/NBP/layer_13_type_0/Traces/trace_32,304752.0
resnet50/NBP/layer_13_type_0/Traces/trace_8,418432.0
resnet50/NBP/layer_13_type_0/Traces/trace_27,1643264.0
resnet50/NBP/layer_13_type_0/Traces/trace_37,300216.0
resnet50/NBP/layer_13_type_0/Traces/trace_19,111440.0
resnet50/NBP/layer_13_type_0/Traces/trace_30,3272192.0
resnet50/NBP/layer_13_type_0/Traces/trace_26,378672.0
resnet50/NBP/layer_13_type_0/Traces/trace_7,789152.0
resnet50/NBP/layer_13_type_0/Traces/trace_3,5737312.0
resnet50/NBP/layer_13_type_0/Traces/trace_1,1643936.0
resnet50/NBP/layer_13_type_0/Traces/trace_12,120032.0
resnet50/NBP/layer_13_type_0/Traces/trace_25,240412.3076923077
resnet50/NBP/layer_13_type_0/Traces/trace_6,117208.0
resnet50/NBP/layer_13_type_0/Traces/trace_36,3101504.0
resnet50/NBP/layer_13_type_0/Traces/trace_29,443968.0
resnet50/NBP/layer_13_type_0/Traces/trace_17,1591968.0
resnet50/NBP/layer_13_type_0/Traces/trace_18,195020.0
resnet50/NBP/layer_13_type_0/Traces/trace_9,702072.0
resnet50/NBP/layer_13_type_0/Traces/trace_11,11374272.0
resnet50/NBP/layer_13_type_0/Traces/trace_31,119152.0
resnet50/NBP/layer_13_type_0/Traces/trace_33,397488.0
resnet50/NBP/layer_13_type_0/Traces/trace_28,460482.56
resnet50/NBP/layer_13_type_0/Traces/trace_22,403872.0
resnet50/NBP/layer_13_type_0/Traces/trace_2,803488.0
resnet50/NBP/layer_13_type_0/Traces/trace_13,459424.0
resnet50/NBP/layer_13_type_0/Traces/trace_23,3276560.0
resnet50/NBP/layer_13_type_0/Traces/trace_38,243155.6923076923
resnet50/NBP/layer_13_type_0/Traces/trace_4,195020.0
resnet50/NBP/layer_13_type_0/Traces/trace_20,776944.0
resnet50/NBP/layer_13_type_0/Traces/trace_35,1641472.0
resnet50/NBP/layer_39_type_0/Traces/trace_34,204904.0
resnet50/NBP/layer_39_type_0/Traces/trace_10,845572.0
resnet50/NBP/layer_39_type_0/Traces/trace_15,425824.0
resnet50/NBP/layer_39_type_0/Traces/trace_14,850752.0
resnet50/NBP/layer_39_type_0/Traces/trace_24,2785944.0
resnet50/NBP/layer_39_type_0/Traces/trace_5,3182592.0
resnet50/NBP/layer_39_type_0/Traces/trace_0,725592.0
