Label,FinalPerformance
resnet50/PUM/layer_13_type_0/Traces/trace_26,354966248.0
resnet50/PUM/layer_13_type_0/Traces/trace_7,45301900.0
resnet50/PUM/layer_13_type_0/Traces/trace_3,45284652.0
resnet50/PUM/layer_13_type_0/Traces/trace_1,75920796.0
resnet50/PUM/layer_13_type_0/Traces/trace_12,25630808.0
resnet50/PUM/layer_13_type_0/Traces/trace_25,25837952.0
resnet50/PUM/layer_13_type_0/Traces/trace_6,25769728.0
resnet50/PUM/layer_13_type_0/Traces/trace_36,179390736.0
resnet50/PUM/layer_13_type_0/Traces/trace_29,45102288.0
resnet50/PUM/layer_13_type_0/Traces/trace_17,39472930.0
resnet50/PUM/layer_13_type_0/Traces/trace_18,173513816.0
resnet50/PUM/layer_13_type_0/Traces/trace_9,22427160.0
resnet50/PUM/layer_13_type_0/Traces/trace_11,173620538.0
resnet50/PUM/layer_13_type_0/Traces/trace_31,43402884.0
resnet50/PUM/layer_13_type_0/Traces/trace_33,45100160.0
resnet50/PUM/layer_13_type_0/Traces/trace_28,177440424.0
resnet50/PUM/layer_13_type_0/Traces/trace_22,51261616.0
resnet50/PUM/layer_13_type_0/Traces/trace_2,155275414.0
resnet50/PUM/layer_13_type_0/Traces/trace_13,11216576.0
resnet50/PUM/layer_13_type_0/Traces/trace_23,88723152.0
resnet50/PUM/layer_13_type_0/Traces/trace_38,45106320.0
resnet50/PUM/layer_13_type_0/Traces/trace_4,88742388.0
resnet50/PUM/layer_13_type_0/Traces/trace_20,313947704.0
resnet50/PUM/layer_13_type_0/Traces/trace_35,45097752.0
resnet50/PUM/layer_39_type_0/Traces/trace_34,25768416.0
resnet50/PUM/layer_39_type_0/Traces/trace_10,21695898.0
resnet50/PUM/layer_39_type_0/Traces/trace_15,86767093.0
resnet50/PUM/layer_39_type_0/Traces/trace_14,88742388.0
resnet50/PUM/layer_39_type_0/Traces/trace_24,90436864.0
resnet50/PUM/layer_39_type_0/Traces/trace_5,45097080.0
resnet50/PUM/layer_39_type_0/Traces/trace_0,621012574.0
resnet50/PUM/layer_39_type_0/Traces/trace_39,180370960.0
resnet50/PUM/layer_39_type_0/Traces/trace_21,43390893.0
resnet50/PUM/layer_39_type_0/Traces/trace_16,22611652.0
resnet50/PUM/layer_39_type_0/Traces/trace_32,45102288.0
resnet50/PUM/layer_39_type_0/Traces/trace_8,25840992.0
resnet50/PUM/layer_39_type_0/Traces/trace_27,44364404.0
resnet50/PUM/layer_39_type_0/Traces/trace_37,90435408.0
resnet50/PUM/layer_39_type_0/Traces/trace_19,11280220.0
resnet50/PUM/layer_39_type_0/Traces/trace_30,303664956.0
resnet50/PUM/layer_39_type_0/Traces/trace_26,621093228.0
resnet50/PUM/layer_39_type_0/Traces/trace_7,90187720.0
resnet50/PUM/layer_39_type_0/Traces/trace_3,360737440.0
resnet50/PUM/layer_39_type_0/Traces/trace_1,12939336.0
resnet50/PUM/layer_39_type_0/Traces/trace_12,11093418.0
resnet50/PUM/layer_39_type_0/Traces/trace_25,621093228.0
resnet50/PUM/layer_39_type_0/Traces/trace_6,90186096.0
resnet50/PUM/layer_39_type_0/Traces/trace_36,89695368.0
resnet50/PUM/layer_39_type_0/Traces/trace_29,303687398.0
resnet50/PUM/layer_39_type_0/Traces/trace_17,180873728.0
resnet50/PUM/layer_39_type_0/Traces/trace_18,86782388.0
resnet50/PUM/layer_39_type_0/Traces/trace_9,303736251.0
resnet50/PUM/layer_39_type_0/Traces/trace_11,180384400.0
resnet50/PUM/layer_39_type_0/Traces/trace_31,45221736.0
resnet50/PUM/layer_39_type_0/Traces/trace_33,78504468.0
resnet50/PUM/layer_39_type_0/Traces/trace_28,75970188.0
resnet50/PUM/layer_39_type_0/Traces/trace_22,22671971.0
resnet50/PUM/layer_39_type_0/Traces/trace_2,22425676.0
resnet50/PUM/layer_39_type_0/Traces/trace_13,25769200.0
resnet50/PUM/layer_39_type_0/Traces/trace_23,22429848.0
resnet50/PUM/layer_39_type_0/Traces/trace_38,44371656.0
resnet50/PUM/layer_39_type_0/Traces/trace_4,90435408.0
resnet50/PUM/layer_39_type_0/Traces/trace_20,156981692.0
resnet50/PUM/layer_39_type_0/Traces/trace_35,11093418.0
resnet50/PUM/layer_2_type_0/Traces/trace_34,50702176.0
resnet50/PUM/layer_2_type_0/Traces/trace_10,67907064.0
resnet50/PUM/layer_2_type_0/Traces/trace_15,469275338.0
resnet50/PUM/layer_2_type_0/Traces/trace_14,536280462.0
resnet50/PUM/layer_2_type_0/Traces/trace_24,67522912.0
resnet50/PUM/layer_2_type_0/Traces/trace_5,236316528.0
resnet50/PUM/layer_2_type_0/Traces/trace_0,44868768.0
resnet50/PUM/layer_2_type_0/Traces/trace_39,25360512.0
resnet50/PUM/layer_2_type_0/Traces/trace_21,177442384.0
resnet50/PUM/layer_2_type_0/Traces/trace_16,67887528.0
resnet50/PUM/layer_2_type_0/Traces/trace_32,203051006.0
resnet50/PUM/layer_2_type_0/Traces/trace_8,271534784.0
resnet50/PUM/layer_2_type_0/Traces/trace_27,88740232.0
resnet50/PUM/layer_2_type_0/Traces/trace_37,38726368.0
resnet50/PUM/layer_2_type_0/Traces/trace_19,268156628.0
resnet50/PUM/layer_2_type_0/Traces/trace_30,410075167.1351351
resnet50/PUM/layer_2_type_0/Traces/trace_26,44862720.0
resnet50/PUM/layer_2_type_0/Traces/trace_7,101400864.0
resnet50/PUM/layer_2_type_0/Traces/trace_3,101895000.0
resnet50/PUM/layer_2_type_0/Traces/trace_1,58681056.0
resnet50/PUM/layer_2_type_0/Traces/trace_12,77585088.0
resnet50/PUM/layer_2_type_0/Traces/trace_25,44879520.0
resnet50/PUM/layer_2_type_0/Traces/trace_6,540165840.0
resnet50/PUM/layer_2_type_0/Traces/trace_36,236323626.0
resnet50/PUM/layer_2_type_0/Traces/trace_29,617277984.0
resnet50/PUM/layer_2_type_0/Traces/trace_17,22633996.0
resnet50/PUM/layer_2_type_0/Traces/trace_18,44424742.0
resnet50/PUM/layer_2_type_0/Traces/trace_9,812131808.0
resnet50/PUM/layer_2_type_0/Traces/trace_11,90435408.0
resnet50/PUM/layer_2_type_0/Traces/trace_31,67039511.0
resnet50/PUM/layer_2_type_0/Traces/trace_33,101521586.0
resnet50/PUM/layer_2_type_0/Traces/trace_28,303690828.0
resnet50/PUM/layer_2_type_0/Traces/trace_22,814107068.0
resnet50/PUM/layer_2_type_0/Traces/trace_2,177498944.0
resnet50/PUM/layer_2_type_0/Traces/trace_13,33525980.0
resnet50/PUM/layer_2_type_0/Traces/trace_23,33763128.0
resnet50/PUM/layer_2_type_0/Traces/trace_38,33978444.0
resnet50/PUM/layer_2_type_0/Traces/trace_4,86796948.0
resnet50/PUM/layer_2_type_0/Traces/trace_20,88723908.0
resnet50/PUM/layer_2_type_0/Traces/trace_35,134064014.0
resnet50/PUM/layer_23_type_0/Traces/trace_34,313939864.0
resnet50/PUM/layer_23_type_0/Traces/trace_10,90194944.0
resnet50/PUM/layer_23_type_0/Traces/trace_15,88726904.0
resnet50/PUM/layer_23_type_0/Traces/trace_14,88719288.0
resnet50/PUM/layer_23_type_0/Traces/trace_24,173623016.0
resnet50/PUM/layer_23_type_0/Traces/trace_5,22425956.0
resnet50/PUM/layer_23_type_0/Traces/trace_0,155307852.0
resnet50/PUM/layer_23_type_0/Traces/trace_39,25350052.0
resnet50/PUM/layer_23_type_0/Traces/trace_21,86781485.0
resnet50/PUM/layer_23_type_0/Traces/trace_16,75935643.0
resnet50/PUM/layer_23_type_0/Traces/trace_32,45218712.0
resnet50/PUM/layer_23_type_0/Traces/trace_8,694482152.0
resnet50/PUM/layer_23_type_0/Traces/trace_27,303857624.0
resnet50/PUM/layer_23_type_0/Traces/trace_37,155275414.0
resnet50/PUM/layer_23_type_0/Traces/trace_19,358823696.0
resnet50/PUM/layer_23_type_0/Traces/trace_30,347039588.0
resnet50/PUM/layer_23_type_0/Traces/trace_26,21695898.0
resnet50/PUM/layer_23_type_0/Traces/trace_7,155307852.0
resnet50/PUM/layer_23_type_0/Traces/trace_3,155307852.0
resnet50/PUM/layer_23_type_0/Traces/trace_1,43406580.0
resnet50/PUM/layer_23_type_0/Traces/trace_12,90441008.0
resnet50/PUM/layer_23_type_0/Traces/trace_25,75917758.0
resnet50/PUM/layer_23_type_0/Traces/trace_6,25911620.0
resnet50/PUM/layer_23_type_0/Traces/trace_36,44851912.0
resnet50/PUM/layer_23_type_0/Traces/trace_29,717647392.0
resnet50/PUM/layer_23_type_0/Traces/trace_17,89700408.0
resnet50/PUM/layer_23_type_0/Traces/trace_18,49601756.0
resnet50/PUM/layer_23_type_0/Traces/trace_9,1419428192.0
resnet50/PUM/layer_23_type_0/Traces/trace_11,45241560.0
resnet50/PUM/layer_23_type_0/Traces/trace_31,173534186.0
resnet50/PUM/layer_23_type_0/Traces/trace_33,22548736.0
resnet50/PUM/layer_23_type_0/Traces/trace_28,358778000.0
resnet50/PUM/layer_23_type_0/Traces/trace_22,354966248.0
resnet50/PUM/layer_23_type_0/Traces/trace_2,90212640.0
resnet50/PUM/layer_23_type_0/Traces/trace_13,9497719.0
resnet50/PUM/layer_23_type_0/Traces/trace_23,22188488.0
resnet50/PUM/layer_23_type_0/Traces/trace_38,45241560.0
resnet50/PUM/layer_23_type_0/Traces/trace_4,75941964.0
resnet50/PUM/layer_23_type_0/Traces/trace_20,77644028.0
resnet50/PUM/layer_23_type_0/Traces/trace_35,156997372.0
resnet50/PUM/layer_17_type_0/Traces/trace_34,44361576.0
resnet50/PUM/layer_17_type_0/Traces/trace_10,205029056.0
resnet50/PUM/layer_17_type_0/Traces/trace_15,86767093.0
resnet50/PUM/layer_17_type_0/Traces/trace_14,360741920.0
resnet50/PUM/layer_17_type_0/Traces/trace_24,45228344.0
resnet50/PUM/layer_17_type_0/Traces/trace_5,78938412.0
resnet50/PUM/layer_17_type_0/Traces/trace_0,44854740.0
resnet50/PUM/layer_17_type_0/Traces/trace_39,45097080.0
resnet50/PUM/layer_17_type_0/Traces/trace_21,22188488.0
resnet50/PUM/layer_17_type_0/Traces/trace_16,12886016.0
resnet50/PUM/layer_17_type_0/Traces/trace_32,155272376.0
resnet50/PUM/layer_17_type_0/Traces/trace_8,22429568.0
resnet50/PUM/layer_17_type_0/Traces/trace_27,75964406.0
resnet50/PUM/layer_17_type_0/Traces/trace_37,89709480.0
